2019-08-26	SÅLT	TEVA	23	7,55	1 666,71	SEK	9,65	71 563,79	632123766 	
2019-08-26	SÅLT	QHC	150	1,09	1 567,41	SEK	9,64	69 897,08	632123738 	
2019-08-26	SÅLT	TEVA	25	7,51	1 801,80	SEK	9,64	68 329,67	632123280 	
	2019-08-26	SÅLT	TEVA	20	7,45	1 428,06	SEK	9,64	66 527,87	632123264 	
	2019-08-26	SÅLT	TEVA	25	7,33	1 756,90	SEK	9,64	65 099,81	632123037 	
	2019-08-26	SÅLT	FTR	200	0,7953	1 524,82	SEK	9,64	63 342,91	632122754 	
	2019-08-26	KÖPT	CYH	90	1,85	-1 623,25	SEK	9,70	61 818,09	632121980 	
	2019-08-26	SÅLT	MQ	750	2,3950	1 792,00	SEK	1,00	63 441,34	632067766 	
	2019-08-23	KÖPT	RAD	30	5,31	-1 545,38	SEK	9,64	61 649,34	632018381 	
	2019-08-23	KÖPT	FTR	250	0,7520	-1 823,38	SEK	9,65	63 194,72	632017587 	
	2019-08-23	KÖPT	FTR	250	0,76	-1 842,68	SEK	9,65	65 018,10	632017386 	
	2019-08-23	KÖPT	GE	22	7,92	-1 690,86	SEK	9,65	66 860,78	632016716 	
	2019-08-23	KÖPT	QHC	150	1,04	-1 521,51	SEK	9,70	68 551,64	632016619 	
	2019-08-23	KÖPT	CYH	90	1,9299	-1 695,06	SEK	9,71	70 073,15	632015427 	
	2019-08-23	KÖPT	MQ	750	2,32	-1 744,00	SEK	1,00	71 768,21	631990232 	
	2019-08-23	KÖPT	MQ	750	2,3350	-1 756,00	SEK	1,00	73 512,21	631979512 	
	2019-08-23	SÅLT	MQ	750	2,37	1 773,00	SEK	1,00	75 268,21	631975502 	
	2019-08-23	SÅLT	MQ	5	2,33	11,00	SEK	1,00	73 495,21	631971005 	
	2019-08-23	KÖPT	MQ	5	2,34	-13,00	SEK	1,00	73 484,21	631970200 	
	2019-08-23	SÅLT	MQ	5	2,33	11,00	SEK	1,00	73 497,21	631970199 	
	2019-08-23	SÅLT	MQ	5	2,3350	11,00	SEK	1,00	73 486,21	631963650 	
	2019-08-23	SÅLT	MQ	750	2,34	1 751,00	SEK	1,00	73 475,21	631962594 	
	2019-08-23	SÅLT	MQ	750	2,32	1 736,00	SEK	1,00	71 724,21	631961379 	
	2019-08-23	SÅLT	MQ	750	2,30	1 721,00	SEK	1,00	69 988,21	631960575 	
	2019-08-23	SÅLT	MQ	750	2,31	1 728,00	SEK	1,00	68 267,21	631956820 	
	2019-08-22	SÅLT	TEVA	25	7,45	1 787,89	SEK	9,65	66 539,21	631903762 	
	2019-08-22	SÅLT	MQ	750	2,30	1 721,00	SEK	1,00	64 751,32	631895786 	
	2019-08-21	SÅLT	TEVA	25	7,43	1 774,74	SEK	9,60	63 030,32	631808005 	
	2019-08-21	SÅLT	TEVA	25	7,44	1 777,15	SEK	9,60	61 255,58	631808004 	
	2019-08-21	SÅLT	TEVA	20	7,45	1 422,36	SEK	9,61	59 478,43	631807727 	
	2019-08-21	SÅLT	TEVA	25	7,34	1 752,85	SEK	9,60	58 056,07	631807261 	
	2019-08-21	KÖPT	MQ	750	2,23	-1 677,00	SEK	1,00	56 303,22	631794598 	
	2019-08-21	KÖPT	MQ	5	2,28	-12,00	SEK	1,00	57 980,22	631785652 	
	2019-08-21	SÅLT	MQ	5	2,24	10,00	SEK	1,00	57 992,22	631785651 	
	2019-08-21	KÖPT	MQ	5	2,28	-12,00	SEK	1,00	57 982,22	631784366 	
	2019-08-21	KÖPT	MQ	5	2,3050	-13,00	SEK	1,00	57 994,22	631783380 	
	2019-08-21	KÖPT	MQ	5	2,3050	-13,00	SEK	1,00	58 007,22	631781381 	
	2019-08-21	KÖPT	MQ	5	2,3050	-13,00	SEK	1,00	58 020,22	631775167 	
	2019-08-21	SÅLT	MQ	5	2,24	10,00	SEK	1,00	58 033,22	631774919 	
	2019-08-21	SÅLT	MQ	750	2,31	1 728,00	SEK	1,00	58 023,22	631752853 	
	2019-08-20	SÅLT	TEVA	25	7,2719	1 754,20	SEK	9,70	56 295,22	631703718 	
	2019-08-20	SÅLT	TEVA	25	7,24	1 746,45	SEK	9,70	54 541,02	631703716 	
	2019-08-20	SÅLT	TEVA	25	7,3701	1 777,10	SEK	9,69	52 794,57	631703183 	
	2019-08-20	SÅLT	TEVA	25	7,37	1 777,10	SEK	9,69	51 017,47	631702971 	
	2019-08-20	SÅLT	QHC	150	1,12	1 620,43	SEK	9,70	49 240,37	631702824 	
	2019-08-20	SÅLT	TEVA	25	7,35	1 773,78	SEK	9,70	47 619,94	631702492 	
	2019-08-20	SÅLT	TEVA	35	7,26	2 456,32	SEK	9,70	45 846,16	631702491 	
	2019-08-20	SÅLT	TEVA	25	7,25	1 749,52	SEK	9,70	43 389,84	631702487 	
	2019-08-20	SÅLT	TEVA	25	7,15	1 725,27	SEK	9,70	41 640,32	631702486 	
	2019-08-20	SÅLT	TEVA	25	7,05	1 701,01	SEK	9,70	39 915,05	631702481 	
	2019-08-20	SÅLT	TEVA	25	6,95	1 676,75	SEK	9,70	38 214,04	631702477 	
	2019-08-20	SÅLT	TEVA	25	6,85	1 652,50	SEK	9,70	36 537,29	631702476 	
	2019-08-20	SÅLT	MQ	25	2,2850	56,00	SEK	1,00	34 884,79	631688386 	
	2019-08-19	SÅLT	QHC	150	1,14	1 640,18	SEK	9,64	34 828,79	631593546 	
	2019-08-19	KÖPT	FTR	200	0,8086	-1 576,53	SEK	9,69	33 188,61	631592562 	
	2019-08-19	SÅLT	TEVA	25	6,75	1 617,55	SEK	9,64	34 765,14	631590387 	
	2019-08-19	SÅLT	RAD	50	5,80	2 786,26	SEK	9,64	33 147,59	631590265 	
	2019-08-19	SÅLT	TEVA	25	6,65	1 593,46	SEK	9,64	30 361,33	631590134 	
	2019-08-19	KÖPT	MQ	750	2,26	-1 699,00	SEK	1,00	28 767,87	631573858 	
	2019-08-19	KÖPT	MQ	750	2,28	-1 714,00	SEK	1,00	30 466,87	631572131 	
